CVEGEO,NOM_ENT,NOMGEO,NOMGEO2,NOM_ENT2
12003,Guerrero,Ajuchitlán del Progreso,ajuchitlan del progreso,guerrero
13041,Hidalgo,Mixquiahuala de Juárez,mixquiahuala de juarez,hidalgo
12067,Guerrero,Tlapehuala,tlapehuala,guerrero
13025,Hidalgo,Huautla,huautla,hidalgo
13027,Hidalgo,Huehuetla,huehuetla,hidalgo
11002,Guanajuato,Acámbaro,acambaro,guanajuato
12024,Guerrero,Cualác,cualac,guerrero
12043,Guerrero,Metlatónoc,metlatonoc,guerrero
13071,Hidalgo,Tlahuiltepa,tlahuiltepa,hidalgo
13030,Hidalgo,Ixmiquilpan,ixmiquilpan,hidalgo
13051,Hidalgo,Mineral de la Reforma,mineral de la reforma,hidalgo
12081,Guerrero,Iliatenco,iliatenco,guerrero
13065,Hidalgo,Tetepango,tetepango,hidalgo
11021,Guanajuato,Moroleón,moroleon,guanajuato
12078,Guerrero,Cochoapa el Grande,cochoapa el grande,guerrero
13079,Hidalgo,Xochicoatlán,xochicoatlan,hidalgo
13059,Hidalgo,Tecozautla,tecozautla,hidalgo
11001,Guanajuato,Abasolo,abasolo,guanajuato
11037,Guanajuato,Silao de la Victoria,silao de la victoria,guanajuato
13018,Hidalgo,Chapulhuacán,chapulhuacan,hidalgo
10039,Durango,Nuevo Ideal,nuevo ideal,durango
12031,Guerrero,General Canuto A. Neri,general canuto a. neri,guerrero
12037,Guerrero,Ixcateopan de Cuauhtémoc,ixcateopan de cuauhtemoc,guerrero
13031,Hidalgo,Jacala de Ledezma,jacala de ledezma,hidalgo
13033,Hidalgo,Juárez Hidalgo,juarez hidalgo,hidalgo
13076,Hidalgo,Tula de Allende,tula de allende,hidalgo
14076,Jalisco,San Martín de Bolaños,san martin de bolanos,jalisco
13007,Hidalgo,Almoloya,almoloya,hidalgo
13084,Hidalgo,Zimapán,zimapan,hidalgo
11029,Guanajuato,San Diego de la Unión,san diego de la union,guanajuato
12006,Guerrero,Apaxtla,apaxtla,guerrero
12022,Guerrero,Coyuca de Catalán,coyuca de catalan,guerrero
13006,Hidalgo,Alfajayucan,alfajayucan,hidalgo
13026,Hidalgo,Huazalingo,huazalingo,hidalgo
13028,Hidalgo,Huejutla de Reyes,huejutla de reyes,hidalgo
14020,Jalisco,Cabo Corrientes,cabo corrientes,jalisco
10038,Durango,Vicente Guerrero,vicente guerrero,durango
12052,Guerrero,San Luis Acatlán,san luis acatlan,guerrero
12025,Guerrero,Cuautepec,cuautepec,guerrero
13029,Hidalgo,Huichapan,huichapan,hidalgo
13060,Hidalgo,Tenango de Doria,tenango de doria,hidalgo
13021,Hidalgo,Emiliano Zapata,emiliano zapata,hidalgo
14072,Jalisco,San Diego de Alejandría,san diego de alejandria,jalisco
12045,Guerrero,Olinalá,olinala,guerrero
13044,Hidalgo,Nopala de Villagrán,nopala de villagran,hidalgo
14041,Jalisco,Huejúcar,huejucar,jalisco
14038,Jalisco,Guachinango,guachinango,jalisco
14036,Jalisco,Etzatlán,etzatlan,jalisco
12016,Guerrero,Coahuayutla de José María Izazaga,coahuayutla de jose maria izazaga,guerrero
14028,Jalisco,Cuautla,cuautla,jalisco
12005,Guerrero,Alpoyeca,alpoyeca,guerrero
12061,Guerrero,Tixtla de Guerrero,tixtla de guerrero,guerrero
13063,Hidalgo,Tepeji del Río de Ocampo,tepeji del rio de ocampo,hidalgo
11028,Guanajuato,Salvatierra,salvatierra,guanajuato
12034,Guerrero,Huitzuco de los Figueroa,huitzuco de los figueroa,guerrero
13017,Hidalgo,Chapantongo,chapantongo,hidalgo
11004,Guanajuato,Apaseo el Alto,apaseo el alto,guanajuato
11019,Guanajuato,Jerécuaro,jerecuaro,guanajuato
11012,Guanajuato,Cuerámaro,cueramaro,guanajuato
12060,Guerrero,Tetipac,tetipac,guerrero
14050,Jalisco,Jocotepec,jocotepec,jalisco
14075,Jalisco,San Marcos,san marcos,jalisco
14033,Jalisco,Degollado,degollado,jalisco
12042,Guerrero,Mártir de Cuilapan,martir de cuilapan,guerrero
14003,Jalisco,Ahualulco de Mercado,ahualulco de mercado,jalisco
11046,Guanajuato,Yuriria,yuriria,guanajuato
14042,Jalisco,Huejuquilla el Alto,huejuquilla el alto,jalisco
11044,Guanajuato,Villagrán,villagran,guanajuato
13070,Hidalgo,Tlahuelilpan,tlahuelilpan,hidalgo
11023,Guanajuato,Pénjamo,penjamo,guanajuato
14045,Jalisco,Ixtlahuacán del Río,ixtlahuacan del rio,jalisco
11017,Guanajuato,Irapuato,irapuato,guanajuato
12036,Guerrero,Igualapa,igualapa,guerrero
11018,Guanajuato,Jaral del Progreso,jaral del progreso,guanajuato
12071,Guerrero,Xochistlahuaca,xochistlahuaca,guerrero
13042,Hidalgo,Molango de Escamilla,molango de escamilla,hidalgo
13043,Hidalgo,Nicolás Flores,nicolas flores,hidalgo
13069,Hidalgo,Tizayuca,tizayuca,hidalgo
11043,Guanajuato,Victoria,victoria,guanajuato
14077,Jalisco,San Martín Hidalgo,san martin hidalgo,jalisco
14024,Jalisco,Cocula,cocula,jalisco
13004,Hidalgo,Agua Blanca de Iturbide,agua blanca de iturbide,hidalgo
14010,Jalisco,Atemajac de Brizuela,atemajac de brizuela,jalisco
14034,Jalisco,Ejutla,ejutla,jalisco
14047,Jalisco,Jamay,jamay,jalisco
13034,Hidalgo,Lolotla,lolotla,hidalgo
14037,Jalisco,El Grullo,el grullo,jalisco
14065,Jalisco,Pihuamo,pihuamo,jalisco
13008,Hidalgo,Apan,apan,hidalgo
13012,Hidalgo,Atotonilco el Grande,atotonilco el grande,hidalgo
12009,Guerrero,Atlamajalcingo del Monte,atlamajalcingo del monte,guerrero
12040,Guerrero,Leonardo Bravo,leonardo bravo,guerrero
13075,Hidalgo,Tolcayuca,tolcayuca,hidalgo
14030,Jalisco,Chapala,chapala,jalisco
14056,Jalisco,Santa María del Oro,santa maria del oro,jalisco
12069,Guerrero,Xalpatláhuac,xalpatlahuac,guerrero
12030,Guerrero,Florencio Villarreal,florencio villarreal,guerrero
12038,Guerrero,Zihuatanejo de Azueta,zihuatanejo de azueta,guerrero
12023,Guerrero,Cuajinicuilapa,cuajinicuilapa,guerrero
12053,Guerrero,San Marcos,san marcos,guerrero
14009,Jalisco,El Arenal,el arenal,jalisco
10023,Durango,Pueblo Nuevo,pueblo nuevo,durango
11033,Guanajuato,San Luis de la Paz,san luis de la paz,guanajuato
13073,Hidalgo,Tlanchinol,tlanchinol,hidalgo
14008,Jalisco,Arandas,arandas,jalisco
12041,Guerrero,Malinaltepec,malinaltepec,guerrero
13011,Hidalgo,Atlapexco,atlapexco,hidalgo
13046,Hidalgo,San Felipe Orizatlán,san felipe orizatlan,hidalgo
14053,Jalisco,Lagos de Moreno,lagos de moreno,jalisco
12054,Guerrero,San Miguel Totolapan,san miguel totolapan,guerrero
12080,Guerrero,Juchitán,juchitan,guerrero
14059,Jalisco,Mazamitla,mazamitla,jalisco
13078,Hidalgo,Xochiatipan,xochiatipan,hidalgo
12044,Guerrero,Mochitlán,mochitlan,guerrero
14067,Jalisco,Puerto Vallarta,puerto vallarta,jalisco
11026,Guanajuato,Romita,romita,guanajuato
11038,Guanajuato,Tarandacuao,tarandacuao,guanajuato
13022,Hidalgo,Epazoyucan,epazoyucan,hidalgo
14043,Jalisco,La Huerta,la huerta,jalisco
